amount,transaction_hour,foreign_transaction,location_mismatch,velocity_last_24h,cardholder_age,is_fraud,device_trust_score_binned,merchant_category_Clothing,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel
-0.5608469016250247,1.5033452540648082,0,0,0.7066133432267665,-0.2315801659412413,0,2,0,1,0,0,0
2.446026372933066,-1.2413826450032301,1,0,-0.710297310927568,1.3707273217601437,0,3,0,0,0,0,1
0.4690066463625388,0.7810484385205877,0,0,-0.710297310927568,1.1704388857974706,0,1,0,0,0,1,0
-0.021682719493866732,-1.096923281894386,0,1,0.7066133432267665,-0.6321570378665875,0,2,0,0,0,1,0
-0.9250156467308932,0.49212971230289937,0,0,-1.418752638004735,0.03547108200898952,0,3,0,0,1,0,0
-0.9250156467308932,0.20321098608521113,0,0,-0.0018419838504007465,0.16899670598410493,0,3,1,0,0,0,0
-1.0584226619939996,0.9255078016294318,0,0,-0.710297310927568,-1.032733909791934,0,1,0,0,0,0,1
1.3129950561824242,0.20321098608521113,0,0,-0.710297310927568,-0.2315801659412413,0,2,0,1,0,0,0
-0.014256215607762667,-0.5190858294590095,0,0,-1.418752638004735,-1.5000735937048377,0,3,0,0,0,1,0
0.36517061930046507,-0.9524639187855419,0,0,-0.710297310927568,-0.6321570378665875,0,2,0,0,0,1,0
-1.105884773193374,0.6365890754117435,0,0,-0.0018419838504007465,-1.032733909791934,0,2,0,0,0,1,0
2.446026372933066,0.9255078016294318,0,0,1.4150686703039337,-1.233022345754607,0,1,1,0,0,0,0
1.039834740517177,-0.08570774013247712,0,0,1.4150686703039337,1.6377785697103746,0,2,1,0,0,0,0
-0.8410961528179168,-1.2413826450032301,0,0,-0.0018419838504007465,-0.03129172997856819,0,1,0,0,0,0,1
-0.887275504255146,0.49212971230289937,0,0,-0.0018419838504007465,1.7045413816979322,0,1,0,1,0,0,0
-0.884912525745931,-0.23016710324132125,0,0,-0.0018419838504007465,1.5042529457352591,0,1,1,0,0,0,0
-0.6902706102583117,1.3588858909559642,0,0,-0.710297310927568,-1.233022345754607,0,1,0,0,1,0,0
-0.22705930878049121,-1.2413826450032301,0,0,-0.0018419838504007465,-1.233022345754607,0,2,1,0,0,0,0
-0.4438457085830392,0.6365890754117435,1,0,0.7066133432267665,-1.2997851577421646,0,3,0,0,0,1,0
-0.7128201766033914,-0.6635451925678536,0,0,-0.0018419838504007465,1.6377785697103746,0,2,0,1,0,0,0
0.018960510864630145,0.20321098608521113,0,0,1.4150686703039337,0.5028107659218934,0,3,0,0,0,0,1
-0.9485779181513508,-1.5303013712209184,0,0,-0.710297310927568,0.3692851419467781,0,3,1,0,0,0,0
-0.7112673621544787,-0.23016710324132125,0,0,-0.0018419838504007465,-0.8992082858168184,0,2,0,0,0,1,0
-0.5766451008009189,-0.23016710324132125,0,0,-0.0018419838504007465,0.6363363898970089,0,3,0,0,1,0,0
-0.39111753099170005,1.6478046171736525,0,0,-0.0018419838504007465,-0.5653942258790299,0,3,0,0,1,0,0
0.7378460870395073,1.3588858909559642,1,0,0.7066133432267665,-0.8992082858168184,0,3,0,0,0,0,1
-0.8604725765934793,1.6478046171736525,0,0,-0.710297310927568,0.23575951797166264,0,3,0,0,0,0,1
-0.2536596954270823,-0.9524639187855419,0,0,-0.710297310927568,-1.7003620296675108,0,1,1,0,0,0,0
-0.040451520224202564,1.21442652784712,0,0,0.7066133432267665,0.5695735779094512,0,2,0,0,0,0,1
-1.0733431834378997,1.21442652784712,0,0,-0.710297310927568,-1.5668364056923956,0,3,0,0,0,1,0
0.005525290197951035,0.20321098608521113,0,0,-0.0018419838504007465,0.23575951797166264,0,2,0,0,0,1,0
-0.9039513811630343,-0.3746264663501654,0,0,-0.0018419838504007465,1.4374901337477013,0,2,0,0,0,1,0
-1.049375829987291,-0.6635451925678536,0,0,0.7066133432267665,-0.0980545419661259,0,1,1,0,0,0,0
2.446026372933066,-0.8080045556766977,0,0,2.831979324458268,0.43604795393433576,0,1,1,0,0,0,0
2.446026372933066,-0.6635451925678536,0,0,2.123523997381101,-0.6989198498541452,0,2,0,0,0,0,1
0.8768567370530379,-0.6635451925678536,0,0,-0.0018419838504007465,1.5042529457352591,0,2,1,0,0,0,0
-0.6896629872130849,1.5033452540648082,0,0,-0.710297310927568,-1.5668364056923956,0,3,0,0,0,1,0
-1.0062345937761954,-1.5303013712209184,0,0,-0.0018419838504007465,1.3707273217601437,0,3,0,1,0,0,0
0.2697738011998733,0.49212971230289937,0,0,-0.710297310927568,0.16899670598410493,0,2,0,0,0,1,0
-0.426157126599773,-0.5190858294590095,0,0,-0.710297310927568,-0.8324454738292607,0,3,0,1,0,0,0
-0.9729503536321106,0.05875162297636701,0,0,-0.710297310927568,1.103676073809913,0,2,0,0,0,0,1
-0.30044666990953806,1.5033452540648082,0,1,0.7066133432267665,1.2372016977850282,0,1,0,0,1,0,0
-1.088601273240259,-0.08570774013247712,0,0,0.7066133432267665,-1.43331078171728,0,3,1,0,0,0,0
1.7859958400555636,1.3588858909559642,0,1,-1.418752638004735,1.1704388857974706,0,3,1,0,0,0,0
-0.7672361959870269,0.6365890754117435,0,0,-0.0018419838504007465,-0.6321570378665875,0,3,0,0,0,1,0
0.18895993618472232,-1.5303013712209184,0,0,0.7066133432267665,0.16899670598410493,0,1,0,0,0,1,0
-0.6771729579500918,0.05875162297636701,0,0,0.7066133432267665,-0.3651057899163567,0,1,0,1,0,0,0
-0.23900922866994972,-1.6747607343297626,0,0,-0.0018419838504007465,-1.3665479697297223,0,1,1,0,0,0,0
-0.16960517417072227,0.9255078016294318,0,1,-0.0018419838504007465,-0.1648173539536836,0,2,0,0,0,0,1
-0.8827520882517917,-0.23016710324132125,0,0,-0.710297310927568,1.5042529457352591,0,1,0,0,0,1,0
2.446026372933066,-1.096923281894386,0,0,1.4150686703039337,0.10223389399654723,0,1,1,0,0,0,0
0.6822823352371105,-1.6747607343297626,0,0,-0.710297310927568,-0.6321570378665875,0,3,0,0,1,0,0
2.277765424659039,1.0699671647382758,0,0,-0.710297310927568,1.036913261822355,0,2,0,1,0,0,0
1.6058018503100013,0.05875162297636701,0,0,-1.418752638004735,-0.298342977928799,0,2,0,0,0,1,0
-0.023978184331389842,-0.6635451925678536,0,0,-0.0018419838504007465,-0.1648173539536836,0,3,0,0,0,1,0
